Brand,SKU,Product Name,Health Category,Therapeutic Platform,Nutrient Type,Format,Number of Actives,Bottle Count/Size,Unit Count,Mfg.,"Contains
  Iron"
Bariatric Fusion,BFCAPSADEK,Multivitamin Three Per Day ADEK 90ct Capsule,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Multiple,90,90,BRH,yes
Bariatric Fusion,BFCAPSADEK270,Multivitamin Three Per Day ADEK 270ct Capsule,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Multiple,270,270,BRH,yes
Bariatric Fusion,BFCAPSB50,B-50 Complex 90ct,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Multiple,90,90,BRH,
Bariatric Fusion,BFCAPSBIOTIN5000,Biotin 5mg,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Single,90,90,BRH,
Bariatric Fusion,BFCAPSDIGESTIVE,Digestive Enzyme capsules,Gastrointestinal Health,Digestive Health,Enzymes,Capsule,Multiple,60,60,Deerland/ADM,
Bariatric Fusion,BFCAPSENERGY,Energy Support 60ct,Energy,Health Vitality & Lifestyle,Herbs & Extracts,Capsule,Multiple,60,60,BRH,
Bariatric Fusion,BFCAPSGLP30,GLP-1 Boost & Balance,Metabolism & Healthy Weight,Metabolic,Herbs & Extracts,Capsule,Multiple,30,30,BRH,
Bariatric Fusion,BFCAPSGLPMULTI30,GLP-ONE Multivitamin,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Multiple,30,30,,
Bariatric Fusion,BFCAPSHSNR,Hair Skin Nails Rejuvenator 60ct,Women's Health,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Multiple,60,60,BRH,
Bariatric Fusion,BFCAPSHSNR120,Hair Skin Nails Rejuvenator 120ct,Women's Health,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Multiple,120,120,BRH,
Bariatric Fusion,BFCAPSIRON30,Multivitamin One Per Day with 45mg Iron 30ct Capsules,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Multiple,30,30,BRH,yes
Bariatric Fusion,BFCAPSIRON90,Multivitamin One Per Day with 45mg Iron 90ct Capsules,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Multiple,90,90,BRH,yes
Bariatric Fusion,BFCAPSIRONC45,Iron 45mg with Vit C Capsule 60ct,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Multiple,60,60,BRH,yes
Bariatric Fusion,BFCAPSIRONC60,Iron 60mg with Vit C Capsule 60ct,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Multiple,60,60,BRH,yes
Bariatric Fusion,BFCAPSIRONFREE30,One-Per-Day Multivitamin without Iron 30 ct,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Multiple,30,30,,
Bariatric Fusion,BFCAPSIRONFREE90,One-Per-Day Multivitamin without Iron 90 ct,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Multiple,90,90,,
Bariatric Fusion,BFCAPSMULTI180,Multivitamin Two Per Day NO Iron 180ct Capsules,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Multiple,180,180,BRH,
Bariatric Fusion,BFCAPSMULTI60,Multivitamin Two Per Day NO Iron 60ct Capsules,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Multiple,60,60,BRH,
Bariatric Fusion,BFCAPSMULTI60-BRAZIL,Multivitamin Capsule Brazil,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Multiple,60,60,BRH,
Bariatric Fusion,BFCAPSMULTIMEN30,"One Per Day Men’s Multivitamin Capsule, 30ct",Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Multiple,30,30,VitaQuest,yes
Bariatric Fusion,BFCAPSMULTIMEN90,"One Per Day Men’s Multivitamin Capsule, 90ct",Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Multiple,90,90,VitaQuest,yes
Bariatric Fusion,BFCAPSMULTIWOMEN30,"One Per Day Women’s Multivitamin Capsule, 30ct",Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Multiple,30,30,VitaQuest,yes
Bariatric Fusion,BFCAPSMULTIWOMEN90,"One Per Day Women’s Multivitamin Capsule, 90ct",Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Multiple,90,90,VitaQuest,yes
Bariatric Fusion,BFCAPSPROBIOTIC,Probiotic Capsule,Gastrointestinal Health,Digestive Health,Probiotics/Prebiotics & Fiber,Capsule,Single,60,60,VitaQuest,
Bariatric Fusion,BFCAPSSLEEP,Sleep Support 60ct,Sleep Support,Health Vitality & Lifestyle,Herbs & Extracts,Capsule,Multiple,60,60,BRH,
Bariatric Fusion,BFCAPSSTRESS,Stress Support 60ct,Stress Management,Health Vitality & Lifestyle,Herbs & Extracts,Capsule,Multiple,60,60,BRH,
Bariatric Fusion,BFCAPSVITA,Vitamin A 3000mcg RAE Soft Gels 60ct,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Soft Gel,Single,60,60,BRH,
Bariatric Fusion,BFCAPSVITB1,Vitamin B1 (Thiamin),Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Single,90,90,BRH,
Bariatric Fusion,BFCAPSVITD,Vitamin D3 5000IU 90ct,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Capsule,Single,90,90,BRH,
Bariatric Fusion,BFCHEWADEK,ADEK Complete Chewable,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,120,120,NutraStar,yes
Bariatric Fusion,BFCHEWADEK-CA,ADEK Complete Chewable - CA label,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,120,120,NutraStar,yes
Bariatric Fusion,BFCHEWCALCIUM-ORANGE,Calcium Citrate Chewable - Orange Citrus,"Bone, Joints & Muscles",Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,124,124,INW-Capstone,
Bariatric Fusion,BFCHEW-CHERRY,Wild Cherry Complete Chewables,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,120,120,INW-Phoenix,yes
Bariatric Fusion,BFCHEW-CHERRY-CA,Wild Cherry Complete Chew - CA Label,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,120,120,INW-Phoenix,yes
Bariatric Fusion,BFCHEWK-MIXEDBERRY,Very Berry Complete Chewables with K,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,120,120,INW-Phoenix,yes
Bariatric Fusion,BFCHEWK-MIXEDBERRY-CA,Very Berry Complete Chewables with K - CA Label,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,120,120,INW-Phoenix,yes
Bariatric Fusion,BFCHEW-LEMON-BRAZIL,Lemon Complete Chewables Brazil,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,120,120,INW-Phoenix,
Bariatric Fusion,BFCHEW-MIXEDBERRY,Mixed Berry Complete Chewable,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,120,120,INW-Phoenix,yes
Bariatric Fusion,BFCHEW-MIXEDBERRY-BRAZIL,Mixed Berry Complete Chewable Brazil,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,120,120,INW-Phoenix,
Bariatric Fusion,BFCHEW-MIXEDBERRY-CA,Mixed Berry Complete - CA Label,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,120,120,INW-Phoenix,yes
Bariatric Fusion,BFCHEWONEIRON-CITRUS30,Bariatric Multi - Chewable w/ Iron,Foundational Health & Wellness,Foundational Health,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,30,30,INW - Capstone,yes
Bariatric Fusion,BFCHEWONEK-WATERMELON30,Watermelon One Per Day Bariatric Multivitamin with Iron 30 count,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,30,30,INW-Phoenix,
Bariatric Fusion,BFCHEWONEK-WATERMELON90,Watermelon One Per Day Bariatric Multivitamin with Iron 90 count,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,90,90,INW-Phoenix,
Bariatric Fusion,BFCHEW-ORANGE,Orange Cream Complete Chewable,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,120,120,INW-Phoenix,yes
Bariatric Fusion,BFCHEW-ORANGE-BRAZIL,Orange Cream Complete Chewable Brazil,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,120,120,INW-Phoenix,
Bariatric Fusion,BFCHEW-ORANGE-CA,Orange Complete Chew - CA Label,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,120,120,INW-Phoenix,yes
Bariatric Fusion,BFCHEW-STRAWBERRY,Strawberry Complete Chewables,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,120,120,INW-Phoenix,yes
Bariatric Fusion,BFCHEW-STRAWBERRY-BRAZIL,Strawberry Complete Chewables Brazil,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,120,120,INW-Phoenix,
Bariatric Fusion,BFCHEW-STRAWBERRY-CA,Strawberry Complete Chew - CA Label,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,120,120,INW-Phoenix,yes
Bariatric Fusion,BFCHEW-TROPICAL,Tropical Complete Chewables,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,120,120,INW-Phoenix,yes
Bariatric Fusion,BFCHEW-TROPICAL-BRAZIL,Tropical Complete Chewables Brazil,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,120,120,INW-Phoenix,
Bariatric Fusion,BFCHEW-TROPICAL-CA,Tropical Complete Chewable -CA Label,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Chewable Tablet,Multiple,120,120,INW-Phoenix,yes
Bariatric Fusion,BFGLPFIBER-UNFL-20S,GLP-One Prebiotic Fiber Powder,Gastrointestinal Health,Metabolic,Probiotics/Prebiotics & Fiber,Powder,Multiple,165g,165,,
Bariatric Fusion,BFMELTCALCIUM-WATERMELON,Calcium Citrate-Malate (Watermelon) Quickmelt 120ct,"Bone, Joints & Muscles",Metabolic,"Multivitamins, Vitamins & Minerals",Quick Melt,Multiple,120,120,BRH,
Bariatric Fusion,BFMELTIRON-MELONBERRY,Iron 45mg with Vit C (Melon-Berry) Quickmelt 90ct,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Quick Melt,Multiple,90,90,BRH,yes
Bariatric Fusion,BFMELTMULTI-WILDBERRY,Wildberry Multivitamin Quick Melt,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Quick Melt,Multiple,60,60,JW,yes
Bariatric Fusion,BFMELTVITD-LEMON,Vitamin D 125mcg (5000IU) Quick Melt (Lemon) 90ct,Foundational Health & Wellness,Metabolic,"Multivitamins, Vitamins & Minerals",Quick Melt,Single,90,90,BRH,
Bariatric Fusion,BFPROT-CAPP-21S,Cappuccino Protein Tubs,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,872,872,VitaQuest,
Bariatric Fusion,BFPROT-CAPP-21S-CA,Cappuccino Tub - CA Label,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,872,872,VitaQuest,
Bariatric Fusion,BFPROT-CHICSOUP-21S,Chicken Soup Protein Tubs,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,932,932,VitaQuest,
Bariatric Fusion,BFPROT-CHICSOUP-21S-CA,Chicken Soup Protein Tubs - CA Label,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,932,932,VitaQuest,
Bariatric Fusion,BFPROT-CHOC-21S,Chocolate Protein Tubs,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,884,884,VitaQuest,
Bariatric Fusion,BFPROT-CHOC-21S-CA,Chocolate Tub - CA Label,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,884,884,VitaQuest,
Bariatric Fusion,BFPROT-CHOCNUT-21S,Chocolate Peanut Butter Tubs,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,895,895,VitaQuest,
Bariatric Fusion,BFPROT-CHOCNUT-21S-CA,Chocolate Peanut Butter Tubs - CA Label,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,895,895,VitaQuest,
Bariatric Fusion,BFPROTCOLLAGEN-CHOC-30S,Chocolate Collagen Tubs,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,435,435,VitaQuest,
Bariatric Fusion,BFPROTCOLLAGEN-STRAWBANANA-30S,Strawberry Banana Collagen Tubs,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,375,375,VitaQuest,
Bariatric Fusion,BFPROTCOLLAGEN-UNFL-30S,Unflavored Collagen Tubs,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,339,339,VitaQuest,
Bariatric Fusion,BFPROTPKT-CAPP,Cappuccino Protein Packets,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,41.5 g,41.5,VitaQuest,
Bariatric Fusion,BFPROTPKT-CAPP-CA,Cappuccino Protein Packets- CA,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,41.5 g,41.5,#N/A,no UPC in NS
Bariatric Fusion,BFPROTPKT-CHICSOUP,Chicken Soup Protein Packets,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,44.4 g,44.4,VitaQuest,
Bariatric Fusion,BFPROTPKT-CHICSOUP-CA,Chicken Soup Protein Packets- CA,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,44.4 g,44.4,#N/A,no UPC in NS
Bariatric Fusion,BFPROTPKT-CHOC,Chocolate Protein Packets,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,42.1 g,42.1,VitaQuest,
Bariatric Fusion,BFPROTPKT-CHOC-CA,Chocolate Protein Packets- CA,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,42.1 g,42.1,#N/A,
Bariatric Fusion,BFPROTPKT-CHOCNUT,Chocolate Peanut Butter Packets,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,42.6 g,42.6,VitaQuest,
Bariatric Fusion,BFPROTPKT-CHOCNUT-CA,Chocolate Peanut Butter Packets- CA,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,42.6 g,42.6,#N/A,
Bariatric Fusion,BFPROTPKTCOLLAGEN-UNFL,Unflavored Collagen Packets,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,5.7 g,5.7,VitaQuest,
Bariatric Fusion,BFPROTPKTCOLLAGEN-UNFL-CA,Unflavored Collagen Packets - CA Label,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,,,#N/A,no UPC in NS
Bariatric Fusion,BFPROTPKT-STRAWBANANA,Strawberry Banana Protein Packet,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,40.5 g,40.5,VitaQuest,
Bariatric Fusion,BFPROTPKT-STRAWBANANA-CA,Strawberry Banana Protein Packet- CA,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,40.5 g,40.5,#N/A,
Bariatric Fusion,BFPROTPKT-STRAWBERRY,Strawberry Protein Packets,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,41.5 g,41.5,VitaQuest,
Bariatric Fusion,BFPROTPKT-STRAWBERRY-CA,Strawberry Protein Packets- CA,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,41.5 g,41.5,#N/A,
Bariatric Fusion,BFPROTPKT-UNFL,Unflavored Packets,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,40.4 g,40.4,VitaQuest,
Bariatric Fusion,BFPROTPKT-UNFL-CA,Unflavored Packets- CA,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,40.4 g,40.4,#N/A,no UPC in NS
Bariatric Fusion,BFPROTPKT-VAN,Vanilla Protein Packets,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,41.4 g,41.4,#N/A,
Bariatric Fusion,BFPROTPKT-VAN-CA,Vanilla Protein Packets- CA,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,41.4 g,41.4,#N/A,
Bariatric Fusion,BFPROT-STRAWBANANA-21S,Strawberry Banana Protein Tub,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,851,851,VitaQuest,
Bariatric Fusion,BFPROT-STRAWBANANA-21S-CA,Strawberry Banana Protein Tub - CA,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,851,851,VitaQuest,
Bariatric Fusion,BFPROT-STRAWBERRY-21S,Strawberry Protein Tubs,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,872,872,VitaQuest,
Bariatric Fusion,BFPROT-STRAWBERRY-21S-CA,Strawberry Protein Tub - CA Label,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,871,871,VitaQuest,
Bariatric Fusion,BFPROT-UNFL-21S,Unflavored Tubs,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,848,848,VitaQuest,
Bariatric Fusion,BFPROT-UNFL-21S-CA,Unflavored Tubs - CA Label,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,848,848,VitaQuest,
Bariatric Fusion,BFPROT-VAN-21S,Vanilla Protein Tubs,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,869,869,VitaQuest,
Bariatric Fusion,BFPROT-VAN-21S-CA,Vanilla Tub - CA Label,Metabolism & Healthy Weight,Metabolic,Protein & Collagen,Powder,Multiple,869,869,VitaQuest,
Bariatric Fusion,BFSOFTCALCIUM-CARAMEL,Caramel Calcium Soft Chews,"Bone, Joints & Muscles",Metabolic,"Multivitamins, Vitamins & Minerals",Soft Chew,Multiple,60,60,Food Pharma,
